"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","17","71.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/02/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/03/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/04/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","22","92.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/05/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/06/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/07/2021","AQS","510870014","1","0.7","ppm","8","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/08/2021","AQS","510870014","1","0.7","ppm","8","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/09/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/10/2021","AQS","510870014","1","0.6","ppm","7","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/11/2021","AQS","510870014","1","0.7","ppm","8","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/12/2021","AQS","510870014","1","0.5","ppm","6","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/13/2021","AQS","510870014","1","0.6","ppm","7","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/14/2021","AQS","510870014","1","0.6","ppm","7","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/15/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/16/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/17/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/18/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/19/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/20/2021","AQS","510870014","1","0.6","ppm","7","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/21/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/22/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/23/2021","AQS","510870014","1","0.5","ppm","6","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/24/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/25/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/26/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/27/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/28/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/29/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/30/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"01/31/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/01/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/02/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
