"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","510360002","1","6.9","ppb","6","Shirley Plantation","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/02/2021","AQS","510360002","1","6.6","ppb","6","Shirley Plantation","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/03/2021","AQS","510360002","1","6.4","ppb","6","Shirley Plantation","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/04/2021","AQS","510360002","1","11.6","ppb","10","Shirley Plantation","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/05/2021","AQS","510360002","1","10.1","ppb","9","Shirley Plantation","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/06/2021","AQS","510360002","1","6.5","ppb","6","Shirley Plantation","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/07/2021","AQS","510360002","1","13.5","ppb","12","Shirley Plantation","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/08/2021","AQS","510360002","1","12.9","ppb","11","Shirley Plantation","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/09/2021","AQS","510360002","1","4.3","ppb","4","Shirley Plantation","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
"01/10/2021","AQS","510360002","1","5.5","ppb","5","Shirley Plantation","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","036","Charles","37.3443800009102","-77.25925"
