"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AirNow","510330001","1","0.025","ppm","23","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/02/2021","AirNow","510330001","1","0.022","ppm","20","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/03/2021","AirNow","510330001","1","0.018","ppm","17","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/04/2021","AirNow","510330001","1","0.014","ppm","13","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/05/2021","AirNow","510330001","1","0.019","ppm","18","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/06/2021","AirNow","510330001","1","0.029","ppm","27","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/07/2021","AirNow","510330001","1","0.033","ppm","31","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/08/2021","AirNow","510330001","1","0.024","ppm","22","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/09/2021","AirNow","510330001","1","0.037","ppm","34","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/10/2021","AirNow","510330001","1","0.038","ppm","35","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/11/2021","AirNow","510330001","1","0.023","ppm","21","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"01/12/2021","AirNow","510330001","1","0.027","ppm","25","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
