Date,Source,Site ID,POC,PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2021,AQS,510360002,1,6.2,ug/m3 LC,26,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/4/2021,AQS,510360002,1,3.7,ug/m3 LC,15,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/7/2021,AQS,510360002,1,5.7,ug/m3 LC,24,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/10/2021,AQS,510360002,1,3.8,ug/m3 LC,16,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/13/2021,AQS,510360002,1,7.5,ug/m3 LC,31,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/16/2021,AQS,510360002,1,6.6,ug/m3 LC,28,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/19/2021,AQS,510360002,1,3.7,ug/m3 LC,15,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/22/2021,AQS,510360002,1,3.9,ug/m3 LC,16,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/25/2021,AQS,510360002,1,6.7,ug/m3 LC,28,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/28/2021,AQS,510360002,1,3.4,ug/m3 LC,14,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/31/2021,AQS,510360002,1,3.9,ug/m3 LC,16,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/3/2021,AQS,510360002,1,2.3,ug/m3 LC,10,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/6/2021,AQS,510360002,1,2.5,ug/m3 LC,10,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/9/2021,AQS,510360002,1,7.7,ug/m3 LC,32,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/12/2021,AQS,510360002,1,9.5,ug/m3 LC,40,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/15/2021,AQS,510360002,1,20.3,ug/m3 LC,68,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/18/2021,AQS,510360002,1,3.4,ug/m3 LC,14,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/21/2021,AQS,510360002,1,8.8,ug/m3 LC,37,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/24/2021,AQS,510360002,1,7.2,ug/m3 LC,30,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
2/27/2021,AQS,510360002,1,3.7,ug/m3 LC,15,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/2/2021,AQS,510360002,1,2.7,ug/m3 LC,11,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/5/2021,AQS,510360002,1,2.2,ug/m3 LC,9,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/8/2021,AQS,510360002,1,5.2,ug/m3 LC,22,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/11/2021,AQS,510360002,1,12.7,ug/m3 LC,52,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/14/2021,AQS,510360002,1,5.3,ug/m3 LC,22,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/17/2021,AQS,510360002,1,3.2,ug/m3 LC,13,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/20/2021,AQS,510360002,1,3.9,ug/m3 LC,16,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/23/2021,AQS,510360002,1,5.3,ug/m3 LC,22,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/26/2021,AQS,510360002,1,6.5,ug/m3 LC,27,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
3/29/2021,AQS,510360002,1,3.1,ug/m3 LC,13,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/1/2021,AQS,510360002,1,2.9,ug/m3 LC,12,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/4/2021,AQS,510360002,1,7.2,ug/m3 LC,30,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/7/2021,AQS,510360002,1,10.5,ug/m3 LC,44,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/10/2021,AQS,510360002,1,7.4,ug/m3 LC,31,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/13/2021,AQS,510360002,1,4.7,ug/m3 LC,20,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/16/2021,AQS,510360002,1,4.4,ug/m3 LC,18,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/19/2021,AQS,510360002,1,5.9,ug/m3 LC,25,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/22/2021,AQS,510360002,1,3.8,ug/m3 LC,16,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/25/2021,AQS,510360002,1,4.9,ug/m3 LC,20,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
4/28/2021,AQS,510360002,1,10,ug/m3 LC,42,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/1/2021,AQS,510360002,1,3.3,ug/m3 LC,14,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/4/2021,AQS,510360002,1,8.5,ug/m3 LC,35,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/7/2021,AQS,510360002,1,3.5,ug/m3 LC,15,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/10/2021,AQS,510360002,1,5.8,ug/m3 LC,24,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/13/2021,AQS,510360002,1,4.7,ug/m3 LC,20,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/16/2021,AQS,510360002,1,5.3,ug/m3 LC,22,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/19/2021,AQS,510360002,1,7,ug/m3 LC,29,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/22/2021,AQS,510360002,1,10.4,ug/m3 LC,43,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/25/2021,AQS,510360002,1,8.8,ug/m3 LC,37,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/28/2021,AQS,510360002,1,11.6,ug/m3 LC,48,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
5/31/2021,AQS,510360002,1,4.9,ug/m3 LC,20,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
6/3/2021,AQS,510360002,1,3.4,ug/m3 LC,14,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
6/6/2021,AQS,510360002,1,12.3,ug/m3 LC,51,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
