"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2021","AQS","516700010","1","0.0012","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"01/10/2021","AQS","516700010","1","0.0019","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"01/16/2021","AQS","516700010","1","0.0016","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"01/22/2021","AQS","516700010","1","0.0012","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"01/26/2021","AQS","516700010","1","0.0027","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"02/03/2021","AQS","516700010","1","0.0014","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"02/09/2021","AQS","516700010","1","0.0021","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"02/15/2021","AQS","516700010","1","0.0021","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"02/21/2021","AQS","516700010","1","0.0015","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"02/27/2021","AQS","516700010","1","0.0058","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"03/05/2021","AQS","516700010","1","0.0018","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"03/11/2021","AQS","516700010","1","0.0042","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"03/23/2021","AQS","516700010","1","0.0014","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"03/29/2021","AQS","516700010","1","0.0008","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"04/04/2021","AQS","516700010","1","0.0036","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"04/10/2021","AQS","516700010","1","0.0012","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"04/16/2021","AQS","516700010","1","0.0008","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"04/22/2021","AQS","516700010","1","0.0012","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"04/28/2021","AQS","516700010","1","0.0036","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"05/04/2021","AQS","516700010","1","0.0016","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"05/10/2021","AQS","516700010","1","0.0014","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"05/16/2021","AQS","516700010","1","0.0017","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"05/22/2021","AQS","516700010","1","0.0027","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"05/28/2021","AQS","516700010","1","0.0021","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"06/03/2021","AQS","516700010","1","0.0003","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"06/09/2021","AQS","516700010","1","0.0008","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"06/15/2021","AQS","516700010","1","0.0022","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"06/21/2021","AQS","516700010","1","0.0018","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"06/27/2021","AQS","516700010","1","0.0006","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"07/03/2021","AQS","516700010","1","0.0031","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"07/13/2021","AQS","516700010","1","0.0012","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"07/15/2021","AQS","516700010","1","0.0024","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"07/21/2021","AQS","516700010","1","0.0022","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"07/27/2021","AQS","516700010","1","0.0009","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"08/02/2021","AQS","516700010","1","0.0011","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"08/08/2021","AQS","516700010","1","0.0011","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"08/14/2021","AQS","516700010","1","0.0015","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"08/20/2021","AQS","516700010","1","0.0012","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"08/26/2021","AQS","516700010","1","0.0016","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"09/01/2021","AQS","516700010","1","0.001","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"09/07/2021","AQS","516700010","1","0.0013","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"09/13/2021","AQS","516700010","1","0.0022","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"09/19/2021","AQS","516700010","1","0.0035","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"09/25/2021","AQS","516700010","1","0.0015","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"10/07/2021","AQS","516700010","1","0.0019","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"10/13/2021","AQS","516700010","1","0.0051","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"10/19/2021","AQS","516700010","1","0.0026","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"10/25/2021","AQS","516700010","1","0.001","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"10/31/2021","AQS","516700010","1","0.0019","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"11/06/2021","AQS","516700010","1","0.0022","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"11/12/2021","AQS","516700010","1","0.0011","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"11/18/2021","AQS","516700010","1","0.0019","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"11/24/2021","AQS","516700010","1","0.0025","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"11/30/2021","AQS","516700010","1","0.0029","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"12/06/2021","AQS","516700010","1","0.0022","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"12/12/2021","AQS","516700010","1","0.001","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"12/18/2021","AQS","516700010","1","0.0018","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
"12/24/2021","AQS","516700010","1","0.0016","ug/m3 SC",".","Carter G. Woodson Middle School","1","100.0000","12128","Lead (TSP) STP","40060","Richmond, VA","51","Virginia","670","Hopewell City","37.2896160009097","-77.291816"
